"","method","date","ret"
"299","HANG_SHENG",2017-01-30,8.01714627868102
"300","HANG_SHENG",2017-01-31,8.01714627868102
"301","HANG_SHENG",2017-02-01,7.64551386323018
"302","HANG_SHENG",2017-02-02,7.22048707535524
"303","HANG_SHENG",2017-02-03,7.31385371653517
"304","HANG_SHENG",2017-02-06,8.17041883780828
"305","HANG_SHENG",2017-02-07,8.45438870831862
"306","HANG_SHENG",2017-02-08,9.4343985997381
"307","HANG_SHENG",2017-02-09,9.78773545194982
"308","HANG_SHENG",2017-02-10,10.122053022258
"309","HANG_SHENG",2017-02-13,10.6517830580305
"310","HANG_SHENG",2017-02-14,10.6582917902086
"311","HANG_SHENG",2017-02-15,11.0342962445111
"312","HANG_SHENG",2017-02-16,10.3597685347333
"313","HANG_SHENG",2017-02-17,10.0612256167834
"314","HANG_SHENG",2017-02-21,10.3559144728592
"315","HANG_SHENG",2017-02-22,11.2120178960555
"316","HANG_SHENG",2017-02-23,11.2209662701915
"317","HANG_SHENG",2017-02-24,10.7987191605212
"318","HANG_SHENG",2017-02-27,10.7727999172965
"319","HANG_SHENG",2017-02-28,10.1357769825456
"320","HANG_SHENG",2017-03-01,10.6557617307705
"321","HANG_SHENG",2017-03-02,10.729159895011
"322","HANG_SHENG",2017-03-03,9.83682718463843
"323","HANG_SHENG",2017-03-06,10.2100649384895
"324","HANG_SHENG",2017-03-07,10.5364443253582
"325","HANG_SHENG",2017-03-08,10.756651748535
"326","HANG_SHENG",2017-03-09,9.44945102613988
"327","HANG_SHENG",2017-03-10,9.45012820847974
"328","HANG_SHENG",2017-03-13,10.430484678929
"329","HANG_SHENG",2017-03-14,10.5405973984989
"330","HANG_SHENG",2017-03-15,10.3011492534228
"331","HANG_SHENG",2017-03-16,12.2248999410913
"332","HANG_SHENG",2017-03-17,12.3494248438929
"333","HANG_SHENG",2017-03-20,12.5465722568401
"334","HANG_SHENG",2017-03-21,12.9119660510641
"335","HANG_SHENG",2017-03-22,11.7853792013559
"336","HANG_SHENG",2017-03-23,12.1201645201905
"337","Cartera sin RF",2017-01-03,-0.415261423766687
"338","Cartera sin RF",2017-01-04,-0.925715169534571
"339","Cartera sin RF",2017-01-05,-0.436724018409486
"340","Cartera sin RF",2017-01-06,-0.561171104939846
"341","Cartera sin RF",2017-01-09,-0.885245518373418
"342","Cartera sin RF",2017-01-10,0.0129678746365584
"343","Cartera sin RF",2017-01-11,0.839032080376562
"344","Cartera sin RF",2017-01-12,-0.470166881635203
"345","Cartera sin RF",2017-01-13,-0.0532623379485037
"346","Cartera sin RF",2017-01-17,-1.57474420467498
"347","Cartera sin RF",2017-01-18,-0.965983838648102
"348","Cartera sin RF",2017-01-19,-1.79247166117522
"349","Cartera sin RF",2017-01-20,-1.56967768535092
"350","Cartera sin RF",2017-01-23,-1.08220127904555
"351","Cartera sin RF",2017-01-24,-0.477396103267546
"352","Cartera sin RF",2017-01-25,-0.664460794309894
"353","Cartera sin RF",2017-01-26,-0.291293619806465
"354","Cartera sin RF",2017-01-27,-0.295951438978289
"355","Cartera sin RF",2017-01-30,-0.825161560716806
"356","Cartera sin RF",2017-01-31,-0.48206068895456
"357","Cartera sin RF",2017-02-01,-0.665735143625751
"358","Cartera sin RF",2017-02-02,0.254063514708497
"359","Cartera sin RF",2017-02-03,1.39974189080574
"360","Cartera sin RF",2017-02-06,1.79838075150918
"361","Cartera sin RF",2017-02-07,2.65997377277114
"362","Cartera sin RF",2017-02-08,3.30635580603654
"363","Cartera sin RF",2017-02-09,3.85129869174331
"364","Cartera sin RF",2017-02-10,4.24041578434998
"365","Cartera sin RF",2017-02-13,4.84457396236197
"366","Cartera sin RF",2017-02-14,4.62024456624743
"367","Cartera sin RF",2017-02-15,4.69068133806937
"368","Cartera sin RF",2017-02-16,5.01820156147494
"369","Cartera sin RF",2017-02-17,4.82396280407328
"370","Cartera sin RF",2017-02-21,5.27582446493899
"371","Cartera sin RF",2017-02-22,5.11860736725806
"372","Cartera sin RF",2017-02-23,6.2353809651113
"373","Cartera sin RF",2017-02-24,6.32533537295765
"374","Cartera sin RF",2017-02-27,6.02201354403573
"375","Cartera sin RF",2017-02-28,5.34080468643383
"376","Cartera sin RF",2017-03-01,5.82083881521153
"377","Cartera sin RF",2017-03-02,6.06338013466586
"378","Cartera sin RF",2017-03-03,6.19975088225892
"379","Cartera sin RF",2017-03-06,6.37757836986507
"380","Cartera sin RF",2017-03-07,6.17523203719183
"381","Cartera sin RF",2017-03-08,5.99686432471841
"382","Cartera sin RF",2017-03-09,5.76345743987863
"383","Cartera sin RF",2017-03-10,4.22622027845463
"384","Cartera sin RF",2017-03-13,4.72279448901907
"385","Cartera sin RF",2017-03-14,4.66462136001729
"386","Cartera sin RF",2017-03-15,4.6040414998904
"387","Cartera sin RF",2017-03-16,5.48391787779722
"388","Cartera sin RF",2017-03-17,6.74220426869088
